product_type,keywords,primary_style,secondary_styles,landing_pattern,key_considerations
SaaS,"saas,software,platform,subscription,workflow,tool",Flat with subtle depth,"Friendly geometric,Soft gradient mesh","Hero + Problem framing + Features + Social proof + Pricing + CTA","Lead with the outcome and a crisp value claim, then earn trust with logos and metrics before asking for signup."
Fintech,"fintech,payments,wallet,money,transactions,api",Minimal authority,"Data-forward,Calm precision","Hero + How it works + Security + Numbers + Integrations + CTA","Pair a confident promise with visible compliance and security cues so users feel safe moving money."
Banking,"banking,deposits,accounts,loans,branch,savings",Trustworthy classic,"Calm precision,Understated premium","Hero + Account benefits + Security + Rates + Support + CTA","Project stability and longevity; restraint and clarity matter more than novelty for regulated finance."
Crypto,"crypto,blockchain,token,wallet,defi,chain",Dark technical,"Neon accent,Futuristic gradient","Hero + Token utility + Ecosystem + Stats + Roadmap + CTA","Balance bold energy with credibility signals since skepticism is high and clarity reduces perceived risk."
E-commerce,"ecommerce,store,shop,cart,products,checkout",Clean commercial,"Bright playful,Product-first","Hero + Featured products + Categories + Reviews + Offer + CTA","Make products the hero with fast scanning, strong imagery, and a frictionless path to the cart."
Luxury retail,"luxury,premium,fashion,boutique,couture,exclusive",Understated premium,"Editorial elegance,Monochrome refined","Hero + Brand story + Collection + Craftsmanship + Boutique + CTA","Use generous whitespace and slow pacing; scarcity and provenance carry more weight than discounts."
Healthcare,"healthcare,clinic,patients,care,medical,provider",Calm clinical,"Trustworthy classic,Soft humanist","Hero + Services + How it works + Credentials + Testimonials + CTA","Reassure anxious visitors with warm, legible design and clear proof of expertise and safety."
Mental health,"mental health,therapy,counseling,wellbeing,support,calm",Soft humanist,"Calm clinical,Warm minimal","Hero + Approach + How it works + Therapists + Reassurance + CTA","Prioritize emotional safety with gentle color, soft type, and language that lowers stigma and pressure."
Fitness,"fitness,gym,training,workout,coaching,strength",Bold energetic,"High contrast,Motion-driven","Hero + Programs + Results + Coaches + Community + CTA","Drive momentum with strong imagery and transformation proof while keeping the join step obvious."
Education,"education,courses,learning,students,teaching,school",Friendly approachable,"Bright playful,Structured clarity","Hero + Outcomes + Curriculum + Instructors + Reviews + CTA","Reduce intimidation and show a clear learning path with tangible outcomes and credible instructors."
Developer tools,"developer,devtools,api,sdk,cli,code",Technical minimal,"Dark mode native,Monospace accent","Hero + Code sample + Features + Docs preview + Community + CTA","Show real code early; developers trust working examples far more than marketing adjectives."
AI product,"ai,model,assistant,automation,intelligence,generative",Modern futuristic,"Soft gradient mesh,Clean technical","Hero + Demo + Capabilities + Use cases + Trust + CTA","Demonstrate capability interactively and address accuracy and data concerns to build confidence fast."
Cybersecurity,"cybersecurity,security,threats,defense,soc,protection",Dark authoritative,"High contrast,Data-forward","Hero + Threat framing + Platform + Coverage + Proof + CTA","Convey vigilance and control; concrete coverage and outcomes beat fear-driven vagueness."
Agency,"agency,studio,creative,branding,marketing,services",Editorial maximalism,"Bold typographic,Motion-driven","Hero + Work showcase + Services + Process + About + CTA","Let the portfolio do the selling and treat the site itself as a demonstration of craft."
Portfolio,"portfolio,personal,creative,showcase,resume,work",Minimal expressive,"Editorial elegance,Bold typographic","Hero + Selected work + About + Skills + Contact","Make the work unmissable and the personality clear without clutter competing for attention."
Restaurant,"restaurant,menu,dining,food,reservations,cuisine",Warm appetizing,"Editorial elegance,Rustic texture","Hero + Atmosphere + Menu + Story + Location + Reserve","Sell the experience through mood and food imagery, then make reserving or finding the place effortless."
