brand,keywords,palette,typography,depth,motion,signature,notes
"Stripe","fintech,payments,developer,gradient,premium,trust","off-white #f6f9fc bg, ink #0a2540, blurple #635bff, accent teal/orange","Sohne-like grotesque display + clean sans body","layered-shadow (soft, low-spread)","smooth, restrained micro-interactions; gradient sheen on scroll","angled multi-color gradient bands, generous whitespace, crisp API docs","the reference for fintech polish — gradients are tasteful, never the AI purple blob"
"Linear","saas,dev-tools,dark,minimal,fast,keyboard","near-black #08090a, off-white text, subtle indigo accent","Inter-tight display + Inter body, very tight tracking","surface-shift (elevation by lightness, almost no shadow)","fast, snappy, spring-y; purposeful, never decorative","dark-first, hairline borders, dense but calm, monochrome + one accent","the bar for dark dev-tool UIs — restraint and speed over flourish"
"Notion","productivity,docs,friendly,neutral,editorial","paper white, ink #37352f, muted grays, soft accents","Inter / system + serif option for docs","borders-only (flat, hairline dividers)","minimal, content-first, gentle hovers","warm-neutral but COMMITTED (not slop), emoji accents, block UI","warm paper done with intent — distinguish from the AI cream default"
"Vercel","dev,deploy,monochrome,brutalist-lite,high-contrast","pure black/white, geometric, minimal color","Geist display + mono","borders-only + sharp","crisp, instant, high-contrast reveals","stark black-on-white, geometric, triangle motif, mono for data","monochrome confidence; color used surgically"
"Figma","design,creative,playful,colorful,collaborative","white bg, multi-color brand (red/purple/green/blue), ink text","sans display + sans body","single-shadow (soft cards)","playful but smooth; canvas-like","bright multi-color used in moderation over clean canvas","colorful without chaos — color earns its place"
"Apple","hardware,premium,minimal,photographic,spacious","white/black, system grays, product-led color","SF Pro display + body, large optical sizes","surface-shift + subtle depth","cinematic scroll, parallax, deliberate","huge product photography, immense whitespace, centered hero","the spacious-premium reference; type does the work"
"Airbnb","travel,marketplace,warm,approachable,photographic","white, coral accent, charcoal ink","Cereal (geometric sans) display + body","single-shadow (rounded soft cards)","friendly, soft easing","coral accent, rounded cards, big imagery, approachable","warm and human; one strong brand accent"
"Spotify","music,consumer,dark,bold,energetic","near-black bg, electric green accent, white","Circular-like geometric sans","surface-shift (dark elevation)","energetic, beat-driven, bold transitions","dark-first, green accent, duotone photography, bold type","dark + one electric accent + duotone imagery"
"Mailchimp","marketing,smb,quirky,editorial,warm","bold yellow, ink, cream","Cooper-like display + clean sans","borders-only / flat","quirky, hand-illustrated motion","bold yellow, hand-drawn illustration, editorial voice","personality-forward; illustration is the signature"
"Anthropic","ai,research,editorial,warm,calm","clay/warm-paper, ink, muted clay accent","serif display (editorial) + clean sans body","borders-only / flat","calm, slow, considered","warm editorial, serif headlines, lots of prose, calm","warm-neutral done with editorial intent, not the AI default"
"GitHub","dev,platform,dense,neutral,functional","white/dark dual, blue accent, neutral grays","system sans + mono","borders-only (hairline) + subtle shadow","functional, minimal","information-dense, dual light/dark, mono for code","function-first density; restraint in color"
"Superhuman","email,premium,fast,dark,keyboard","deep indigo/black, vivid accent gradient","clean grotesque sans","surface-shift (dark)","blazing, keyboard-driven, spring","premium dark, vivid accent, speed as brand","premium-fast; gradient used as a focused accent"
"Arc","browser,playful,colorful,expressive,gradient","white + expressive multi-color gradients","rounded humanist sans","single-shadow (soft)","bouncy, expressive, delightful","expressive gradients, rounded forms, playful","playful-expressive; gradients with personality (not slop)"
"Duolingo","education,gamified,friendly,bright,mascot","white, bright green, bright secondaries","rounded heavy sans","single-shadow (chunky)","bouncy, rewarding, mascot animation","bright green, chunky rounded buttons, mascot, gamified","friendly-gamified; bold rounded forms + reward motion"
"Framer","design,web,bold,gradient,motion","black/white + bold gradient accents","grotesque display + sans","layered-shadow + glass","motion-forward, scroll-driven","bold gradients, motion as the product, dark hero","motion-first brand; scroll-driven storytelling"
"Headspace","wellness,calm,warm,illustrated,rounded","warm orange, soft cream, friendly","rounded friendly sans","borders-only / flat","slow, calming, breathing motion","warm orange, hand illustration, rounded, calming","calm-wellness; warm palette + soft illustration"
"Raycast","productivity,dev,dark,keyboard,premium","near-black, vivid red-orange accent, neutrals","grotesque sans + mono","surface-shift (dark)","fast, snappy, command-driven","dark, vivid accent, command-palette UI, mono","dark productivity; accent + speed"
"Slack","collaboration,messaging,friendly,brand-color,b2b","white, aubergine sidebar, multi-color accents","sans display + sans body","single-shadow (soft)","playful confirmations, subtle","aubergine brand, colorful but organized, friendly","brand color anchors a busy multi-color system"
